prodcode,quantity,price_usd,weight_lb,product,date,city
4012,488,1.7247219161479734,14.061532394308598,Orange,Jan 23,"Washington, DC"
4012,454,1.4146909435046837,4.30167988985777,Orange,Jan 23,"Washington, DC"
4012,248,2.136254861264024,19.711042424058544,Orange,Jan 23,"Washington, DC"
4012,295,0.9343420000630431,8.214317637868227,Orange,Jan 23,"Washington, DC"
4012,374,1.2009563899599016,3.933964799018577,Orange,Jan 23,"Washington, DC"
4012,309,1.9783788028405982,5.151714916201309,Orange,Jan 23,"Washington, DC"
4012,347,2.0739022489986385,3.1204421265982094,Orange,Jan 23,"Washington, DC"
4012,194,0.8898773116641678,5.871761938929558,Orange,Jan 23,"Washington, DC"
4012,288,3.000731466407888,18.4754802249372,Orange,Jan 23,"Washington, DC"
4012,425,1.4137748523033224,17.666274391068146,Orange,Jan 23,"Washington, DC"
4012,259,3.284090057027061,11.259309630608188,Orange,Jan 23,"Washington, DC"
4012,445,1.5853053915314377,8.865630154451356,Orange,Jan 23,"Washington, DC"
4012,359,2.055150725715794,7.506700154021383,Orange,Jan 23,"Washington, DC"
4159,375,2.443539155251347,17.892330227559434,Onion,Jan 23,"Washington, DC"
4159,286,3.127430831966922,17.170653391955423,Onion,Jan 23,"Washington, DC"
4159,235,2.527039274876006,21.90996578708291,Onion,Jan 23,"Washington, DC"
4159,205,2.546333119575866,12.011738059623168,Onion,Jan 23,"Washington, DC"
4159,312,2.359497927548364,2.206878576986492,Onion,Jan 23,"Washington, DC"
4159,500,3.0275535885128195,19.009021241916344,Onion,Jan 23,"Washington, DC"
4159,155,2.237213727971539,14.24076805668883,Onion,Jan 23,"Washington, DC"
4159,432,1.7813475986011327,17.397753417864443,Onion,Jan 23,"Washington, DC"
4159,415,2.2405185097712095,8.28995994408615,Onion,Jan 23,"Washington, DC"
4159,273,2.1613878705655227,13.500949566904456,Onion,Jan 23,"Washington, DC"
4240,138,0.8964861299726181,12.138493000576274,Blueberries,Jan 23,"Washington, DC"
4240,201,1.9020975669380278,21.881829228857534,Blueberries,Jan 23,"Washington, DC"
4240,370,3.0146323926281187,6.014554762281478,Blueberries,Jan 23,"Washington, DC"
4240,205,1.1755938483518549,14.451313026715072,Blueberries,Jan 23,"Washington, DC"
4240,391,0.9703791727777571,16.737273389985788,Blueberries,Jan 23,"Washington, DC"
4240,187,1.926402737980243,17.783650210360065,Blueberries,Jan 23,"Washington, DC"
4240,488,1.2537598307942972,6.388376477779821,Blueberries,Jan 23,"Washington, DC"
4240,130,3.0050085486844185,17.817229680204765,Blueberries,Jan 23,"Washington, DC"
4131,222,0.5823795565054752,19.729006388597192,Apple (Fuji),Jan 23,"Washington, DC"
4131,366,1.0507717034313828,19.185821001697335,Apple (Fuji),Jan 23,"Washington, DC"
4131,401,1.7626951631507837,15.048837417224423,Apple (Fuji),Jan 23,"Washington, DC"
4131,243,0.8749719862360508,16.83871775902808,Apple (Fuji),Jan 23,"Washington, DC"
4131,322,0.6022031083819457,2.50887469467707,Apple (Fuji),Jan 23,"Washington, DC"
4131,277,2.6387239057919945,20.054716660501438,Apple (Fuji),Jan 23,"Washington, DC"
4131,405,2.753527792298701,7.474799326667562,Apple (Fuji),Jan 23,"Washington, DC"
4131,479,0.645549886696972,10.067942704912276,Apple (Fuji),Jan 23,"Washington, DC"
4131,170,2.6298711145762357,13.691717915842311,Apple (Fuji),Jan 23,"Washington, DC"
4131,473,3.1355804476304914,5.410380088910461,Apple (Fuji),Jan 23,"Washington, DC"
4134,213,1.287647217058111,16.81642403858714,Apple (Gala),Jan 23,"Washington, DC"
4134,252,2.521318569907453,21.170914648799226,Apple (Gala),Jan 23,"Washington, DC"
4134,139,1.689532356231939,9.129040577355774,Apple (Gala),Jan 23,"Washington, DC"
4134,412,3.0749526779516603,4.842776017403231,Apple (Gala),Jan 23,"Washington, DC"
4134,294,3.1327972343540753,7.723129927087576,Apple (Gala),Jan 23,"Washington, DC"
4134,135,2.647783720761072,20.81745366114192,Apple (Gala),Jan 23,"Washington, DC"
4134,386,1.7661335357814096,17.69831980792806,Apple (Gala),Jan 23,"Washington, DC"
4134,403,1.3055429818457924,4.734596964763478,Apple (Gala),Jan 23,"Washington, DC"
4030,460,2.0145352944498884,16.22709072381258,Kiwi,Jan 23,"Washington, DC"
4030,439,0.5970120171085,6.557727305591107,Kiwi,Jan 23,"Washington, DC"
4030,253,2.3464061503298583,2.3571787738706917,Kiwi,Jan 23,"Washington, DC"
4030,366,0.8818684484111146,17.135625828057528,Kiwi,Jan 23,"Washington, DC"
4030,155,3.2470258632209155,21.444601045688614,Kiwi,Jan 23,"Washington, DC"
4030,263,2.9509586626198145,12.487850336683914,Kiwi,Jan 23,"Washington, DC"
4030,130,1.0206118274480105,11.360738150309773,Kiwi,Jan 23,"Washington, DC"
4030,390,0.705319522425998,14.24922237531282,Kiwi,Jan 23,"Washington, DC"
4030,362,2.066180580132641,3.8981505168136215,Kiwi,Jan 23,"Washington, DC"
4030,231,1.0098890924244188,18.98411616049707,Kiwi,Jan 23,"Washington, DC"
4030,361,1.148590498266276,8.489009739505128,Kiwi,Jan 23,"Washington, DC"
4078,438,1.832297250640113,18.793979738326744,Corn,Jan 23,"Washington, DC"
4078,389,1.095607716368977,13.746954864356669,Corn,Jan 23,"Washington, DC"
4078,182,2.348147751716897,4.045843981206417,Corn,Jan 23,"Washington, DC"
4078,409,2.1125148358521986,17.404248443571852,Corn,Jan 23,"Washington, DC"
4078,387,3.2486506479443054,7.1883351986762145,Corn,Jan 23,"Washington, DC"
4078,321,2.7999040173715914,5.54909220491536,Corn,Jan 23,"Washington, DC"
4011,306,2.3655102090095173,13.715704459277914,Banana,Jan 23,"Washington, DC"
4011,185,2.903236367926002,7.513877890771256,Banana,Jan 23,"Washington, DC"
4011,445,1.7410841162316502,20.59286878453568,Banana,Jan 23,"Washington, DC"
4011,440,2.956679361185525,9.684337409911677,Banana,Jan 23,"Washington, DC"
4011,154,1.4062901193508879,11.240946214739234,Banana,Jan 23,"Washington, DC"
4011,271,1.9233086084248499,7.541316321957857,Banana,Jan 23,"Washington, DC"
4011,249,3.1239872794365513,6.483325632102788,Banana,Jan 23,"Washington, DC"
3302,268,1.1008234733133577,9.26185862873681,Apricot,Jan 23,"Washington, DC"
3302,304,3.1240732446429322,9.9228783225175,Apricot,Jan 23,"Washington, DC"
3302,241,3.039256803004537,11.143226403882728,Apricot,Jan 23,"Washington, DC"
3302,128,2.8884860053774903,15.699667386384682,Apricot,Jan 23,"Washington, DC"
3302,327,2.522530918719713,20.299706157203765,Apricot,Jan 23,"Washington, DC"
3302,325,3.077189166576136,8.845060895755887,Apricot,Jan 23,"Washington, DC"
3302,275,0.9581808200571686,11.960740616125987,Apricot,Jan 23,"Washington, DC"
3302,441,2.3963602883857678,14.989994038362058,Apricot,Jan 23,"Washington, DC"
3302,440,2.8865271324873905,15.366780982026832,Apricot,Jan 23,"Washington, DC"
4062,427,2.2839004179229963,14.89389902004041,Cucumber,Jan 23,"Washington, DC"
